offset_um,score,n_blobs
-884.0,107355.0,5
-885.0,77792.0,6
-886.0,75522.0,5
-887.0,77392.5,6
-888.0,71741.5,6
-889.0,75480.0,5
-890.0,91455.5,5
-891.0,65280.0,5
-892.0,87022.5,6
-893.0,68602.5,6
-894.0,73732.5,6
-895.0,70890.0,5
-896.0,69615.0,6
-897.0,96772.5,5
-898.0,80130.0,6
-899.0,73822.5,5
-900.0,60052.5,6
